year,age,gender,geo,geo_name,deaths,population
2015,Aged under 1,0,E12000001,North East,95,28278
2015,Aged 1 to 4,0,E12000001,North East,18,120805
2015,Aged 5 to 9,0,E12000001,North East,5,149769
2015,Aged 10-14,0,E12000001,North East,21,135822
2015,Aged 15-19,0,E12000001,North East,40,154486
2015,Aged 20-24,0,E12000001,North East,75,181403
2015,Aged 25-29,0,E12000001,North East,84,163596
2015,Aged 30-34,0,E12000001,North East,124,160080
2015,Aged 35-39,0,E12000001,North East,214,148234
2015,Aged 40-44,0,E12000001,North East,305,163260
2015,Aged 45-49,0,E12000001,North East,450,184189
2015,Aged 50-54,0,E12000001,North East,660,192646
2015,Aged 55-59,0,E12000001,North East,948,175883
2015,Aged 60-64,0,E12000001,North East,1419,155622
2015,Aged 65-69,0,E12000001,North East,2163,158536
2015,Aged 70-74,0,E12000001,North East,2646,114408
2015,Aged 75-79,0,E12000001,North East,3774,95261
2015,Aged 80-84,0,E12000001,North East,4832,69019
2015,Aged 85-89,0,E12000001,North East,5105,39544
2015,Aged 90 and over,0,E12000001,North East,5097,20963
2015,Aged under 1,1,E12000001,North East,59,14682
2015,Aged 1 to 4,1,E12000001,North East,10,62213
2015,Aged 5 to 9,1,E12000001,North East,3,76628
2015,Aged 10-14,1,E12000001,North East,14,69654
2015,Aged 15-19,1,E12000001,North East,29,79041
2015,Aged 20-24,1,E12000001,North East,52,92058
2015,Aged 25-29,1,E12000001,North East,52,80863
2015,Aged 30-34,1,E12000001,North East,84,78315
2015,Aged 35-39,1,E12000001,North East,128,72860
2015,Aged 40-44,1,E12000001,North East,202,80098
2015,Aged 45-49,1,E12000001,North East,267,90104
2015,Aged 50-54,1,E12000001,North East,380,94415
2015,Aged 55-59,1,E12000001,North East,539,86335
2015,Aged 60-64,1,E12000001,North East,855,76497
2015,Aged 65-69,1,E12000001,North East,1271,77051
2015,Aged 70-74,1,E12000001,North East,1486,54712
2015,Aged 75-79,1,E12000001,North East,1985,43007
2015,Aged 80-84,1,E12000001,North East,2410,29326
2015,Aged 85-89,1,E12000001,North East,2109,14909
2015,Aged 90 and over,1,E12000001,North East,1569,6034
2015,Aged under 1,2,E12000001,North East,36,13596
2015,Aged 1 to 4,2,E12000001,North East,8,58592
2015,Aged 5 to 9,2,E12000001,North East,2,73141
2015,Aged 10-14,2,E12000001,North East,7,66168
2015,Aged 15-19,2,E12000001,North East,11,75445
2015,Aged 20-24,2,E12000001,North East,23,89345
2015,Aged 25-29,2,E12000001,North East,32,82733
2015,Aged 30-34,2,E12000001,North East,40,81765
2015,Aged 35-39,2,E12000001,North East,86,75374
2015,Aged 40-44,2,E12000001,North East,103,83162
2015,Aged 45-49,2,E12000001,North East,183,94085
2015,Aged 50-54,2,E12000001,North East,280,98231
2015,Aged 55-59,2,E12000001,North East,409,89548
2015,Aged 60-64,2,E12000001,North East,564,79125
2015,Aged 65-69,2,E12000001,North East,892,81485
2015,Aged 70-74,2,E12000001,North East,1160,59696
2015,Aged 75-79,2,E12000001,North East,1789,52254
2015,Aged 80-84,2,E12000001,North East,2422,39693
2015,Aged 85-89,2,E12000001,North East,2996,24635
2015,Aged 90 and over,2,E12000001,North East,3528,14929
2015,Aged under 1,0,E12000002,North West,355,85556
2015,Aged 1 to 4,0,E12000002,North West,66,354781
2015,Aged 5 to 9,0,E12000002,North West,42,436120
2015,Aged 10-14,0,E12000002,North West,48,397588
2015,Aged 15-19,0,E12000002,North West,114,423136
2015,Aged 20-24,0,E12000002,North West,172,475603
2015,Aged 25-29,0,E12000002,North West,223,475579
2015,Aged 30-34,0,E12000002,North West,323,467087
2015,Aged 35-39,0,E12000002,North West,466,428311
2015,Aged 40-44,0,E12000002,North West,821,468031
2015,Aged 45-49,0,E12000002,North West,1321,515505
2015,Aged 50-54,0,E12000002,North West,1884,515947
2015,Aged 55-59,0,E12000002,North West,2458,446406
2015,Aged 60-64,0,E12000002,North West,3607,395060
2015,Aged 65-69,0,E12000002,North West,5491,410183
2015,Aged 70-74,0,E12000002,North West,6950,307067
2015,Aged 75-79,0,E12000002,North West,9441,245724
2015,Aged 80-84,0,E12000002,North West,11811,174084
2015,Aged 85-89,0,E12000002,North West,12421,103575
2015,Aged 90 and over,0,E12000002,North West,13285,57308
2015,Aged under 1,1,E12000002,North West,204,44044
2015,Aged 1 to 4,1,E12000002,North West,32,181486
2015,Aged 5 to 9,1,E12000002,North West,27,224007
2015,Aged 10-14,1,E12000002,North West,29,203858
2015,Aged 15-19,1,E12000002,North West,67,215540
2015,Aged 20-24,1,E12000002,North West,117,238275
2015,Aged 25-29,1,E12000002,North West,147,234337
2015,Aged 30-34,1,E12000002,North West,211,230504
